FILE; ACTION CLASSES
1.mp4;hug,highfive
2.mp4;highfive,greet
3.mp4;handgestures
4.mp4;handgestures
5.mp4;jump,hug
6.mp4;hug
7.mp4;greet
8.mp4;greet
9.mp4;greet
10.mp4;handgestures
11.mp4;highfive
12.mp4;hug,greet
13.mp4;greet
14.mp4;friendly punch
15.mp4;handgestures
16.mp4;jump
17.mp4;handgestures
18.mp4;greet
19.mp4;greet
20.mp4;handgestures
21.mp4;handgestures
22.mp4;greet,handgestures
23.mp4;jump
24.mp4;greet
25.mp4;hug,greet
26.mp4;handgestures
27.mp4;handgestures,highfive
28.mp4;hug
29.mp4;hug,greet
30.mp4;greet
31.mp4;greet
32.mp4;hug,greet,jump
33.mp4;jump,greet,hug
34.mp4;greet
35.mp4;jump
36.mp4;hug,jump
37.mp4;hug,jump
38.mp4;hug
39.mp4;handgestures
40.mp4;greet,highfive
41.mp4;highfive,greet
42.mp4;greet
43.mp4;greet
44.mp4;hug
45.mp4;greet
46.mp4;greet
47.mp4;hug
48.mp4;greet
49.mp4;hug
50.mp4;greet,handgestures
51.mp4;greet,walk
52.mp4;greet
53.mp4;walk,greet
54.mp4;greet
55.mp4;greet
56.mp4;handgestures
57.mp4;greet,handshake
58.mp4;jump,greet,hug
59.mp4;handgestures,greet
60.mp4;handgestures
